Product Description,Storage,Color,Manufacturer,BrandName,ClassName,UnitCost,UnitPrice,ProductKey,ProductSubcategoryKey
SY 8GB MP3 Player new model M820 Blue,8GB,Blue,"SY, Ltd",SY,Regular,72.1,156.78,21,1
SY 8GB MP3 Player new model M820 Yellow,8GB,Yellow,"SY, Ltd",SY,Regular,72.1,156.78,22,1
SY 8GB MP3 Player new model M820 White,8GB,White,"SY, Ltd",SY,Regular,72.1,156.78,23,1
SY 16GB Mp5 Player M1600 Blue,16GB,Blue,"SY, Ltd",SY,Regular,107.56,233.88,24,1
SY 16GB Mp5 Player M1600 Black,16GB,Black,"SY, Ltd",SY,Regular,107.56,233.88,25,1
SY 16GB Mp5 Player M1600 Green,16GB,Green,"SY, Ltd",SY,Regular,107.56,233.88,26,1
SY 16GB Mp5 Player M1600 White,16GB,White,"SY, Ltd",SY,Regular,107.56,233.88,27,1
SY 16GB Mp5 Player M1600 Red,16GB,Red,"SY, Ltd",SY,Regular,107.56,233.88,28,1
SY 32GB Video MP3 Player M3200 White,32GB,White,"SY, Ltd",SY,Regular,98.85,298.35,29,1
SY 32GB Video MP3 Player M3200 Red,32GB,Red,"SY, Ltd",SY,Regular,98.85,298.35,30,1
SY 32GB Video MP3 Player M3200 Orange,32GB,Orange,"SY, Ltd",SY,Regular,98.85,298.35,31,1
SY 32GB Video MP3 Player M3200 Pink,32GB,Pink,"SY, Ltd",SY,Regular,98.85,298.35,32,1
SY 32GB Video MP3 Player M3200 Black,32GB,Black,"SY, Ltd",SY,Regular,98.85,298.35,33,1
SY 4GB Portable MP3 Player M450 Black,4GB,Black,"SY, Ltd",SY,Regular,57.24,112.26,34,1
SY 4GB Portable MP3 Player M450 White,4GB,White,"SY, Ltd",SY,Regular,57.24,112.26,35,1
SY 4GB Portable MP3 Player M450 Yellow,4GB,Yellow,"SY, Ltd",SY,Regular,57.24,112.26,36,1
SY 8GB Clock & Radio MP3 Player X850 Silver,8GB,Silver,"SY, Ltd",SY,Deluxe,115.99,350.1,37,1
SY 8GB Clock & Radio MP3 Player X850 Black,8GB,Black,"SY, Ltd",SY,Deluxe,115.99,350.1,38,1
SY 8GB Clock & Radio MP3 Player X850 Green,8GB,Green,"SY, Ltd",SY,Deluxe,115.99,350.1,39,1
SY 8GB Clock & Radio MP3 Player X850 Blue,8GB,Blue,"SY, Ltd",SY,Deluxe,115.99,350.1,40,1
SY 16GB New Generation MP5 Player M1650 Silver,16GB,Silver,"SY, Ltd",SY,Regular,124.83,271.44,41,1
SY 16GB New Generation MP5 Player M1650 White,16GB,White,"SY, Ltd",SY,Regular,124.83,271.44,42,1
SY 16GB New Generation MP5 Player M1650 Black,16GB,Black,"SY, Ltd",SY,Regular,124.83,271.44,43,1
SY 16GB New Generation MP5 Player M1650 blue,16GB,blue,"SY, Ltd",SY,Regular,124.83,271.44,44,1
SY 16GB New Generation MP5 Player M1650 Pink,16GB,Pink,"SY, Ltd",SY,Regular,124.83,271.44,45,1
InkWise 1GB Pulse Smart pen E50 White,1GB,White,InkWise Importers,InkWise Importers,Economy,89.45,175.44,46,4
InkWise 1GB Pulse Smart pen E50 Black,1GB,Black,InkWise Importers,InkWise Importers,Economy,89.45,175.44,47,4
InkWise 1GB Pulse Smart pen E50 Silver,1GB,Silver,InkWise Importers,InkWise Importers,Economy,89.45,175.44,48,4
InkWise 2GB Pulse Smart pen M100 White,2GB,White,InkWise Importers,InkWise Importers,Regular,107.58,233.94,49,4
InkWise 2GB Pulse Smart pen M100 Black,2GB,Black,InkWise Importers,InkWise Importers,Regular,107.58,233.94,50,4
InkWise 2GB Pulse Smart pen M100 Blue,2GB,Blue,InkWise Importers,InkWise Importers,Regular,107.58,233.94,51,4
InkWise 2GB Pulse Smart pen M100 Silver,2GB,Silver,InkWise Importers,InkWise Importers,Regular,107.58,233.94,52,4
InkWise 4GB Video Recording Pen X200 Black,4GB,Black,InkWise Importers,InkWise Importers,Deluxe,114.74,346.32,53,4
InkWise 4GB Video Recording Pen X200 Red,4GB,Red,InkWise Importers,InkWise Importers,Deluxe,114.74,346.32,54,4
InkWise 4GB Video Recording Pen X200 Pink,4GB,Pink,InkWise Importers,InkWise Importers,Deluxe,114.74,346.32,55,4
InkWise 4GB Video Recording Pen X200 Yellow,4GB,Yellow,InkWise Importers,InkWise Importers,Deluxe,114.74,346.32,56,4
InkWise 1GB Digital Voice Recorder Pen E100 Black,1GB,Black,InkWise Importers,InkWise Importers,Economy,93.05,182.52,57,4
InkWise 1GB Digital Voice Recorder Pen E100 Red,1GB,Red,InkWise Importers,InkWise Importers,Economy,93.05,182.52,58,4
InkWise 1GB Digital Voice Recorder Pen E100 Pink,1GB,Pink,InkWise Importers,InkWise Importers,Economy,93.05,182.52,59,4
InkWise 1GB Digital Voice Recorder Pen E100 White,1GB,White,InkWise Importers,InkWise Importers,Economy,93.05,182.52,60,4
InkWise 2GB Spy Video Recorder Pen M300 Black,2GB,Black,InkWise Importers,InkWise Importers,Regular,97.39,211.77,61,4
InkWise 2GB Spy Video Recorder Pen M300 White,2GB,White,InkWise Importers,InkWise Importers,Regular,97.39,211.77,62,4
InkWise 2GB Spy Video Recorder Pen M300 Blue,2GB,Blue,InkWise Importers,InkWise Importers,Regular,97.39,211.77,63,4
InkWise 2GB Spy Video Recorder Pen M300 Silver,2GB,Silver,InkWise Importers,InkWise Importers,Regular,97.39,211.77,64,4
InkWise 2GB Spy Video Recorder Pen M300 Purple,2GB,Purple,InkWise Importers,InkWise Importers,Regular,97.39,211.77,65,4
SoT Bluetooth Stereo Headphones E52 Blue,,Blue,Sonix Tune,Sonix Tune,Economy,15.33,30.06,66,6
SoT Bluetooth Stereo Headphones E52 Black,,Black,Sonix Tune,Sonix Tune,Economy,15.33,30.06,67,6
SoT Bluetooth Stereo Headphones E52 Yellow,,Yellow,Sonix Tune,Sonix Tune,Economy,15.33,30.06,68,6
SoT Bluetooth Stereo Headphones E52 Pink,,Pink,Sonix Tune,Sonix Tune,Economy,15.33,30.06,69,6
SoT Wireless Bluetooth Stereo Headphones E102 Silver,,Silver,Sonix Tune,Sonix Tune,Economy,25.8,56.1,70,6
SoT Wireless Bluetooth Stereo Headphones E102 Black,,Black,Sonix Tune,Sonix Tune,Economy,25.8,56.1,71,6
SoT Wireless Bluetooth Stereo Headphones E102 Blue,,Blue,Sonix Tune,Sonix Tune,Economy,25.8,56.1,72,6
SoT Wireless Bluetooth Stereo Headphones E102 White,,White,Sonix Tune,Sonix Tune,Economy,25.8,56.1,73,6
SoT Bluetooth Active Headphones E202 Black,,Black,Sonix Tune,Sonix Tune,Economy,20.42,44.4,74,6
SoT Bluetooth Active Headphones E202 White,,White,Sonix Tune,Sonix Tune,Economy,20.42,44.4,75,6
SoT Bluetooth Active Headphones E202 Red,,Red,Sonix Tune,Sonix Tune,Economy,20.42,44.4,76,6
SoT Bluetooth Active Headphones E202 Silver,,Silver,Sonix Tune,Sonix Tune,Economy,20.42,44.4,77,6
SoT Wireless Bluetooth Stereo Headphones E302 Silver,,Silver,Sonix Tune,Sonix Tune,Economy,21.82,47.44,78,6
SoT Wireless Bluetooth Stereo Headphones E302 White,,White,Sonix Tune,Sonix Tune,Economy,21.82,47.44,79,6
SoT Wireless Bluetooth Stereo Headphones E302 Yellow,,Yellow,Sonix Tune,Sonix Tune,Economy,21.82,47.44,80,6
SoT Wireless Bluetooth Stereo Headphones E302 Black,,Black,Sonix Tune,Sonix Tune,Economy,21.82,47.44,81,6
SoT Wireless Bluetooth Stereo Headphones E302 Pink,,Pink,Sonix Tune,Sonix Tune,Economy,21.82,47.44,82,6
SoT Wireless Bluetooth Stereo Headphones M402 Silver,,Silver,Sonix Tune,Sonix Tune,Regular,53.8,116.99,83,6
SoT Wireless Bluetooth Stereo Headphones M402 Red,,Red,Sonix Tune,Sonix Tune,Regular,53.8,116.99,84,6
SoT Wireless Bluetooth Stereo Headphones M402 Green,,Green,Sonix Tune,Sonix Tune,Regular,53.8,116.99,85,6
SoT Wireless Bluetooth Stereo Headphones M402 Black,,Black,Sonix Tune,Sonix Tune,Regular,53.8,116.99,86,6
SoT Wireless Bluetooth Stereo Headphones M402 Purple,,Purple,Sonix Tune,Sonix Tune,Regular,53.8,116.99,87,6
SoT Wireless Transmitter and Bluetooth Headphones M150 Black,,Black,Sonix Tune,Sonix Tune,Regular,58.14,175.49,88,6
SoT Wireless Transmitter and Bluetooth Headphones M150 Blue,,Blue,Sonix Tune,Sonix Tune,Regular,58.14,175.49,89,6
SoT Wireless Transmitter and Bluetooth Headphones M150 Silver,,Silver,Sonix Tune,Sonix Tune,Regular,58.14,175.49,90,6
SoT Wireless Transmitter and Bluetooth Headphones M150 Green,,Green,Sonix Tune,Sonix Tune,Regular,58.14,175.49,91,6
SoT Wireless Transmitter and Bluetooth Headphones M150 Red,,Red,Sonix Tune,Sonix Tune,Regular,58.14,175.49,92,6
InkWise Stereo Bluetooth Headphones E1000 Blue,,Blue,InkWise Importers,InkWise Importers,Economy,40.2,78.86,93,6
InkWise Stereo Bluetooth Headphones E1000 Black,,Black,InkWise Importers,InkWise Importers,Economy,40.2,78.86,94,6
InkWise Stereo Bluetooth Headphones E1000 Silver,,Silver,InkWise Importers,InkWise Importers,Economy,40.2,78.86,95,6
InkWise Stereo Bluetooth Headphones E1000 White,,White,InkWise Importers,InkWise Importers,Economy,40.2,78.86,96,6
InkWise Stereo Bluetooth Headphones E1000 Green,,Green,InkWise Importers,InkWise Importers,Economy,40.2,78.86,97,6
InkWise Wireless Bluetooth Stereo Headphones M170 Silver,,Silver,InkWise Importers,InkWise Importers,Regular,64.56,140.4,98,6
InkWise Wireless Bluetooth Stereo Headphones M170 Black,,Black,InkWise Importers,InkWise Importers,Regular,64.56,140.4,99,6
InkWise Wireless Bluetooth Stereo Headphones M170 White,,White,InkWise Importers,InkWise Importers,Regular,64.56,140.4,100,6
InkWise Wireless Bluetooth Stereo Headphones M170 Pink,,Pink,InkWise Importers,InkWise Importers,Regular,64.56,140.4,101,6
InkWise Wireless Bluetooth Stereo Headphones M270 Silver,,Silver,InkWise Importers,InkWise Importers,Regular,61.87,134.55,102,6
InkWise Wireless Bluetooth Stereo Headphones M270 Black,,Black,InkWise Importers,InkWise Importers,Regular,61.87,134.55,103,6
InkWise Wireless Bluetooth Stereo Headphones M270 White,,White,InkWise Importers,InkWise Importers,Regular,61.87,134.55,104,6
InkWise Wireless Bluetooth Stereo Headphones M270 Pink,,Pink,InkWise Importers,InkWise Importers,Regular,61.87,134.55,105,6
InkWise Stereo Bluetooth Headphones New Generation M370 Black,,Black,InkWise Importers,InkWise Importers,Regular,71.56,155.6,106,6
InkWise Stereo Bluetooth Headphones New Generation M370 White,,White,InkWise Importers,InkWise Importers,Regular,71.56,155.6,107,6
InkWise Stereo Bluetooth Headphones New Generation M370 Yellow,,Yellow,InkWise Importers,InkWise Importers,Regular,71.56,155.6,108,6
InkWise Stereo Bluetooth Headphones New Generation M370 Orange,,Orange,InkWise Importers,InkWise Importers,Regular,71.56,155.6,109,6
InkWise Stereo Bluetooth Headphones New Generation M370 Blue,,Blue,InkWise Importers,InkWise Importers,Regular,71.56,155.6,110,6
InkWise Wireless Transmitter and Bluetooth Headphones X250 Black,,Black,InkWise Importers,InkWise Importers,Deluxe,96.91,292.49,111,6
InkWise Wireless Transmitter and Bluetooth Headphones X250 Blue,,Blue,InkWise Importers,InkWise Importers,Deluxe,96.91,292.49,112,6
InkWise Wireless Transmitter and Bluetooth Headphones X250 White,,White,InkWise Importers,InkWise Importers,Deluxe,96.91,292.49,113,6
InkWise Wireless Transmitter and Bluetooth Headphones X250 Red,,Red,InkWise Importers,InkWise Importers,Deluxe,96.91,292.49,114,6
InkWise Wireless Transmitter and Bluetooth Headphones X250 Silver,,Silver,InkWise Importers,InkWise Importers,Deluxe,96.91,292.49,115,6
"ElectroVision 20"" CRT TV E15 Silver",,Silver,ElectroVision,ElectroVision,Economy,101.4,198.89,116,9
"ElectroVision 20"" CRT TV E15 Black",,Black,ElectroVision,ElectroVision,Economy,101.4,198.89,117,9
"ElectroVision 20"" CRT TV E15 White",,White,ElectroVision,ElectroVision,Economy,101.4,198.89,118,9
"ElectroVision 13"" Color TV E25 Silver",,Silver,ElectroVision,ElectroVision,Economy,71.57,140.39,119,9
"ElectroVision 13"" Color TV E25 Black",,Black,ElectroVision,ElectroVision,Economy,71.57,140.39,120,9
"ElectroVision 13"" Color TV E25 White",,White,ElectroVision,ElectroVision,Economy,71.57,140.39,121,9
"ElectroVision 19"" Portable LCD HDTV M110 Silver",,Silver,ElectroVision,ElectroVision,Regular,150.65,327.59,122,9
"ElectroVision 19"" Portable LCD HDTV M110 Black",,Black,ElectroVision,ElectroVision,Regular,150.65,327.59,123,9
"ElectroVision 19"" Portable LCD HDTV M110 White",,White,ElectroVision,ElectroVision,Regular,150.65,327.59,124,9
"ElectroVision 19"" Color Digital TV E35 Silver",,Silver,ElectroVision,ElectroVision,Economy,85.54,167.78,125,9
"ElectroVision 19"" Color Digital TV E35 Black",,Black,ElectroVision,ElectroVision,Economy,85.54,167.78,126,9
"ElectroVision 19"" Color Digital TV E35 White",,White,ElectroVision,ElectroVision,Economy,85.54,167.78,127,9
"ElectroVision 19"" Color Digital TV E35 Brown",,Brown,ElectroVision,ElectroVision,Economy,85.54,167.78,128,9
"ElectroVision 20"" Analog CRT TV E45 Silver",,Silver,ElectroVision,ElectroVision,Economy,119.3,234,129,9
"ElectroVision 20"" Analog CRT TV E45 Black",,Black,ElectroVision,ElectroVision,Economy,119.3,234,130,9
"ElectroVision 20"" Analog CRT TV E45 White",,White,ElectroVision,ElectroVision,Economy,119.3,234,131,9
"ElectroVision 20"" Analog CRT TV E45 Brown",,Brown,ElectroVision,ElectroVision,Economy,119.3,234,132,9
"ElectroVision 20"" LCD HDTV M120 Silver",,Silver,ElectroVision,ElectroVision,Regular,188.29,409.44,133,9
"ElectroVision 20"" LCD HDTV M120 Black",,Black,ElectroVision,ElectroVision,Regular,188.29,409.44,134,9
"ElectroVision 20"" LCD HDTV M120 White",,White,ElectroVision,ElectroVision,Regular,188.29,409.44,135,9
"ElectroVision 20"" LCD HDTV M120 Brown",,Brown,ElectroVision,ElectroVision,Regular,188.29,409.44,136,9
"ElectroVision 32"" LCD HDTV M130 Silver",,Silver,ElectroVision,ElectroVision,Regular,269.02,584.99,137,9
"ElectroVision 32"" LCD HDTV M130 Black",,Black,ElectroVision,ElectroVision,Regular,269.02,584.99,138,9
"ElectroVision 32"" LCD HDTV M130 White",,White,ElectroVision,ElectroVision,Regular,269.02,584.99,139,9
"ElectroVision 32"" LCD HDTV M130 Brown",,Brown,ElectroVision,ElectroVision,Regular,269.02,584.99,140,9
"ElectroVision 15.6"" LCD TV M130W Silver",,Silver,ElectroVision,ElectroVision,Regular,178.94,350.99,141,9
"ElectroVision 15.6"" LCD TV M130W Black",,Black,ElectroVision,ElectroVision,Regular,178.94,350.99,142,9
"ElectroVision 15.6"" LCD TV M130W White",,White,ElectroVision,ElectroVision,Regular,178.94,350.99,143,9
"ElectroVision 15.6"" LCD TV M130W Brown",,Brown,ElectroVision,ElectroVision,Regular,178.94,350.99,144,9
"ElectroVision 52"" LCD HDTV X590 Silver",,Silver,ElectroVision,ElectroVision,Deluxe,1124.16,3392.99,145,9
"ElectroVision 52"" LCD HDTV X590 Black",,Black,ElectroVision,ElectroVision,Deluxe,1124.16,3392.99,146,9
"ElectroVision 52"" LCD HDTV X590 White",,White,ElectroVision,ElectroVision,Deluxe,1124.16,3392.99,147,9
"ElectroVision 52"" LCD HDTV X590 Brown",,Brown,ElectroVision,ElectroVision,Deluxe,1124.16,3392.99,148,9
"ElectroVision 40"" LCD HDTV M690 Silver",,Silver,ElectroVision,ElectroVision,Regular,459.34,1386.41,149,9
"ElectroVision 40"" LCD HDTV M690 Black",,Black,ElectroVision,ElectroVision,Regular,459.34,1386.41,150,9
"ElectroVision 40"" LCD HDTV M690 White",,White,ElectroVision,ElectroVision,Regular,459.34,1386.41,151,9
"ElectroVision 40"" LCD HDTV M690 Brown",,Brown,ElectroVision,ElectroVision,Regular,459.34,1386.41,152,9
"ElectroVision 26"" 720p LCD HDTV M140 Silver",,Silver,ElectroVision,ElectroVision,Regular,252.86,549.86,153,9
"ElectroVision 26"" 720p LCD HDTV M140 Black",,Black,ElectroVision,ElectroVision,Regular,252.86,549.86,154,9
"ElectroVision 26"" 720p LCD HDTV M140 White",,White,ElectroVision,ElectroVision,Regular,252.86,549.86,155,9
"ElectroVision 26"" 720p LCD HDTV M140 Brown",,Brown,ElectroVision,ElectroVision,Regular,252.86,549.86,156,9
"ElectroVision 37"" 1080p LCD HDTV M150W Silver",,Silver,ElectroVision,ElectroVision,Regular,591.84,1286.99,157,9
"ElectroVision 37"" 1080p LCD HDTV M150W Black",,Black,ElectroVision,ElectroVision,Regular,591.84,1286.99,158,9
"ElectroVision 37"" 1080p LCD HDTV M150W White",,White,ElectroVision,ElectroVision,Regular,591.84,1286.99,159,9
"ElectroVision 37"" 1080p LCD HDTV M150W Brown",,Brown,ElectroVision,ElectroVision,Regular,591.84,1286.99,160,9
"ElectroVision 52"" LCD HDTV X790W Silver",,Silver,ElectroVision,ElectroVision,Deluxe,617.21,1862.87,161,9
"ElectroVision 52"" LCD HDTV X790W Black",,Black,ElectroVision,ElectroVision,Deluxe,617.21,1862.87,162,9
"ElectroVision 52"" LCD HDTV X790W White",,White,ElectroVision,ElectroVision,Deluxe,617.21,1862.87,163,9
"ElectroVision 52"" LCD HDTV X790W Brown",,Brown,ElectroVision,ElectroVision,Deluxe,617.21,1862.87,164,9
"ElectroVision 42"" LCD HDTV M55 Black",,Black,ElectroVision,ElectroVision,Regular,455.43,893.31,165,9
LuD 16xDVD M300 Black,,Black,LuminaDisc,LuminaDisc,Regular,64.02,139.23,166,10
LuD 8xDVD E100 Black,,Black,LuminaDisc,LuminaDisc,Economy,41.16,80.73,167,10
LuD 16xDVD M310 Black,,Black,LuminaDisc,LuminaDisc,Regular,69.4,150.93,168,10
LuD 16xDVD M320 Black,,Black,LuminaDisc,LuminaDisc,Regular,64.02,139.23,169,10
LuD 16xDVD M330 Black,,Black,LuminaDisc,LuminaDisc,Regular,58.65,127.53,170,10
LuD 16xDVD E340 Black,,Black,LuminaDisc,LuminaDisc,Economy,53.27,115.83,171,10
LuD 22xDVD X680 Black,,Black,LuminaDisc,LuminaDisc,Deluxe,65.51,197.73,172,10
LuD 8xDVD E120 Black,,Black,LuminaDisc,LuminaDisc,Economy,53.62,105.18,173,10
LuD 22xDVD M600 Black,,Black,LuminaDisc,LuminaDisc,Regular,50.36,151.98,174,10
LuD 16xDVD M350 Black,,Black,LuminaDisc,LuminaDisc,Regular,62.9,136.77,175,10
LuD 16xDVD M360 Black,,Black,LuminaDisc,LuminaDisc,Regular,68.28,148.47,176,10
LuD 8xDVD E130 Black,,Black,LuminaDisc,LuminaDisc,Economy,33.94,66.57,177,10
LuD 8xDVD E140 Black,,Black,LuminaDisc,LuminaDisc,Economy,39.37,77.22,178,10
LuD 16xDVD M300 Silver,,Silver,LuminaDisc,LuminaDisc,Regular,64.02,139.23,179,10
LuD 8xDVD E100 Silver,,Silver,LuminaDisc,LuminaDisc,Economy,41.16,80.73,180,10
LuD 16xDVD M310 Silver,,Silver,LuminaDisc,LuminaDisc,Regular,69.4,150.93,181,10
LuD 16xDVD M320 Silver,,Silver,LuminaDisc,LuminaDisc,Regular,64.02,139.23,182,10
LuD 16xDVD M330 Silver,,Silver,LuminaDisc,LuminaDisc,Regular,58.65,127.53,183,10
LuD 16xDVD E340 Silver,,Silver,LuminaDisc,LuminaDisc,Economy,53.27,115.83,184,10
LuD 22xDVD X680 Silver,,Silver,LuminaDisc,LuminaDisc,Deluxe,65.51,197.73,185,10
LuD 8xDVD E120 Silver,,Silver,LuminaDisc,LuminaDisc,Economy,53.62,105.18,186,10
LuD 22xDVD M600 Silver,,Silver,LuminaDisc,LuminaDisc,Regular,50.36,151.98,187,10
LuD 16xDVD M350 Silver,,Silver,LuminaDisc,LuminaDisc,Regular,62.9,136.77,188,10
LuD 16xDVD M360 Silver,,Silver,LuminaDisc,LuminaDisc,Regular,68.28,148.47,189,10
LuD 8xDVD E130 Silver,,Silver,LuminaDisc,LuminaDisc,Economy,33.94,66.57,190,10
LuD 8xDVD E140 Silver,,Silver,LuminaDisc,LuminaDisc,Economy,39.37,77.22,191,10
HarmonySonic Home Theater System 4.1 Channel M410 Black,,Black,"Harmony Sonic, Inc.",Harmony Sonic,Regular,322.29,700.83,192,11
HarmonySonic Home Theater System 5.1 Channel M511 Black,,Black,"Harmony Sonic, Inc.",Harmony Sonic,Regular,376.08,817.83,193,11
HarmonySonic Home Theater System 2.1 Channel E210 Black,,Black,"Harmony Sonic, Inc.",Harmony Sonic,Economy,178.35,349.83,194,11
HarmonySonic Home Theater System 5.1 Channel M510 Black,,Black,"Harmony Sonic, Inc.",Harmony Sonic,Regular,343.8,747.63,195,11
HarmonySonic Home Theater System 2.1 Channel E211 Black,,Black,"Harmony Sonic, Inc.",Harmony Sonic,Economy,160.99,315.78,196,11
HarmonySonic Home Theater System 2.1 Channel E212 Black,,Black,"Harmony Sonic, Inc.",Harmony Sonic,Economy,178.89,350.88,197,11
HarmonySonic Home Theater System 4.1 Channel M411 Black,,Black,"Harmony Sonic, Inc.",Harmony Sonic,Regular,322.29,700.83,198,11
HarmonySonic Home Theater System 4.1 Channel M412 Black,,Black,"Harmony Sonic, Inc.",Harmony Sonic,Regular,306.14,665.73,199,11
HarmonySonic Home Theater System 4.1 Channel M413 Black,,Black,"Harmony Sonic, Inc.",Harmony Sonic,Regular,295.39,642.33,200,11
HarmonySonic Home Theater System 5.1 Channel M512 Black,,Black,"Harmony Sonic, Inc.",Harmony Sonic,Regular,376.08,817.83,201,11
HarmonySonic Home Theater System 5.1 Channel M513 Black,,Black,"Harmony Sonic, Inc.",Harmony Sonic,Regular,370.71,806.13,202,11
HarmonySonic Home Theater System 7.1 Channel M710 Black,,Black,"Harmony Sonic, Inc.",Harmony Sonic,Regular,309.72,934.83,203,11
HarmonySonic Home Theater System 7.1 Channel X711 Black,,Black,"Harmony Sonic, Inc.",Harmony Sonic,Deluxe,429.89,1297.53,204,11
HarmonySonic Home Theater System 5.1 Channel M514 Black,,Black,"Harmony Sonic, Inc.",Harmony Sonic,Regular,322.29,700.83,205,11
HarmonySonic Home Theater System 5.1 Channel M515 Black,,Black,"Harmony Sonic, Inc.",Harmony Sonic,Regular,306.14,665.73,206,11
HarmonySonic Home Theater System 5.1 Channel M516 Black,,Black,"Harmony Sonic, Inc.",Harmony Sonic,Regular,311.52,677.43,207,11
HarmonySonic Home Theater System 4.1 Channel M410 Silver,,Silver,"Harmony Sonic, Inc.",Harmony Sonic,Regular,322.29,700.83,208,11
HarmonySonic Home Theater System 5.1 Channel M511 Silver,,Silver,"Harmony Sonic, Inc.",Harmony Sonic,Regular,376.08,817.83,209,11
HarmonySonic Home Theater System 2.1 Channel E210 Silver,,Silver,"Harmony Sonic, Inc.",Harmony Sonic,Economy,178.35,349.83,210,11
HarmonySonic Home Theater System 5.1 Channel M510 Silver,,Silver,"Harmony Sonic, Inc.",Harmony Sonic,Regular,343.8,747.63,211,11
HarmonySonic Home Theater System 2.1 Channel E211 Silver,,Silver,"Harmony Sonic, Inc.",Harmony Sonic,Economy,160.99,315.78,212,11
HarmonySonic Home Theater System 2.1 Channel E212 Silver,,Silver,"Harmony Sonic, Inc.",Harmony Sonic,Economy,178.89,350.88,213,11
HarmonySonic Home Theater System 4.1 Channel M411 Silver,,Silver,"Harmony Sonic, Inc.",Harmony Sonic,Regular,322.29,700.83,214,11
HarmonySonic Home Theater System 4.1 Channel M412 Silver,,Silver,"Harmony Sonic, Inc.",Harmony Sonic,Regular,306.14,665.73,215,11
HarmonySonic Home Theater System 4.1 Channel M413 Silver,,Silver,"Harmony Sonic, Inc.",Harmony Sonic,Regular,295.39,642.33,216,11
HarmonySonic Home Theater System 5.1 Channel M512 Silver,,Silver,"Harmony Sonic, Inc.",Harmony Sonic,Regular,376.08,817.83,217,11
HarmonySonic Home Theater System 5.1 Channel M513 Silver,,Silver,"Harmony Sonic, Inc.",Harmony Sonic,Regular,370.71,806.13,218,11
HarmonySonic Home Theater System 7.1 Channel M710 Silver,,Silver,"Harmony Sonic, Inc.",Harmony Sonic,Regular,309.72,934.83,219,11
HarmonySonic Home Theater System 7.1 Channel X711 Silver,,Silver,"Harmony Sonic, Inc.",Harmony Sonic,Deluxe,429.89,1297.53,220,11
HarmonySonic Home Theater System 5.1 Channel M514 Silver,,Silver,"Harmony Sonic, Inc.",Harmony Sonic,Regular,322.29,700.83,221,11
HarmonySonic Home Theater System 5.1 Channel M515 Silver,,Silver,"Harmony Sonic, Inc.",Harmony Sonic,Regular,306.14,665.73,222,11
HarmonySonic Home Theater System 5.1 Channel M516 Silver,,Silver,"Harmony Sonic, Inc.",Harmony Sonic,Regular,311.52,677.43,223,11
HarmonySonic Home Theater System 4.1 Channel M410 Brown,,Brown,"Harmony Sonic, Inc.",Harmony Sonic,Regular,322.29,700.83,224,11
HarmonySonic Home Theater System 5.1 Channel M511 Brown,,Brown,"Harmony Sonic, Inc.",Harmony Sonic,Regular,376.08,817.83,225,11
